Key,Value,Version,Comment
breakdown.BreakdownInsanity.desc,"{0} hatte zu viel Stress und ist wahnsinnig geworden. Das sollte vorbeigehen, sofern nichts Schlimmes passiert.",,
breakdown.BreakdownRoamAround,"Zusammenbruch: irrt umher",,
breakdown.BreakdownRoamAround.desc,"{0} wandert ziellos umher und starrt ins Leere.",,
breakdown.BreakdownSpaceDiarrhea,"Kolonist infiziert",,
breakdown.BreakdownSpaceDiarrhea.desc,"{0} wurde mit Weltraumdiarrhöe infiziert.",,
breakdown.BreakdownStartFire,Zündelt,,
breakdown.BreakdownStartFire.desc,"{0} scheint umherzuziehen und Dinge in Brand zu setzen.",,
breakdown.CrawlerAttached,"Eine Kreatur hat sich an einen Kolonisten geheftet!",,
breakdown.CrawlerAttached.desc,"Eine außerirdische Kreatur hat sich an {0}s Gesicht geheftet!",,
breakdown.Deconstruct,"Dekonstruiert wahllos Objekte",,
brew,Eingießen,,"Action verb. Used on a button that brews a drink (coffee, beer, etc). Should be short if possible [Weidengeist: Needs something neutral as »zapfen« does not fit coffee and »aufbrühen« does not fit beer.]"
brewing.bar,"Gieße {0} ein",,"Displayed in a tooltip of a machine that brews drinks. Shows what exactly is brewing. {0} will be the drink name, i.e. »Brewing: Coffee«"
bridge.controls,Brückensteuerung,,
build.a.copy,"Kopie bauen",,
build.connector,"Verbinder bauen",,
bullet,Geschoss,,
bullet.target,"Ziel: {0}",,
buy,Kaufen,,
call.back,"Expedition zurückrufen",,
calories,Kalorien,,
cancel,Abbrechen,,
cancel.drag.dist.px,"Ignorierte Ziehweite: {0} Pixel",,
cancel.task,"Aufgabe abbr.",,"[Weidengeist: Abbreviated the term to fit the button.]"
cannot.be.empty,"Darf nicht leer sein",,
cannot.build.floor.not.constructed,"Kein Boden gebaut",,
cannot.build.floor.not.constructed.info,"Du kannst den Bau von Wänden und Objekten nur in Auftrag geben, wenn der Boden darunter bereits gebaut ist.",,
cannot.change.lock.state,"Kann den Schlosszustand nicht ändern",,
cannot.create.template,"Vorlage kann nicht erstellt werden",,
cannot.enter.no.tech,"Dieses Objekt kann noch nicht betreten werden. Notwendige Technik ist nicht vorhanden.",,
cannot.enter.space.object.nearby,"Wir können den Sternenkartenbereich nicht ändern. Es scheint ein sich bewegendes Raumobjekt in der Nähe zu sein, das den Prozess stören kann.",,
cannot.enter.while.moving,"Dieses Objekt kann in Bewegung nicht betreten werden. Bitte warte auf einen vollständigen Stopp. Der Geschwindigkeitsvektor sollte auf allen Achsen Null anzeigen.",,
cannot.reach.position,"Kann diese Position nicht erreichen",,
cannot.save.gen,"Das Spiel kann im Moment nicht gespeichert werden. Bitte versuche es erneut, wenn die aktuelle Operation beendet ist.",,
carbohydrates,Kohlenhydrate,,
carbon.buildup,Kohlenstoffansammlung,,
carbon.buildup.help,"In Reaktoren sammelt sich mit der Zeit Kohlenstoff an. Wenn die Anhäufung 100 % erreicht, wirft der Reaktor den angesammelten Kohlenstoff aus.",,
change,Ändern,,
change.color,"Farbe wechseln",,
change.target.material,"Zielmaterial ändern",,
changelog,Änderungsprotokoll,,
charge.time.left,"Aufgeladen in",,"Label of the progress bar that shows how long a device (i.e. a Force Field) will have to charge to get to 100%"
charging,Aufladen,,
chart,Diagramm,,"Text on a button that toggles display of a chart (i.e. electricity graph). Should be short if possible."
chasing.target,"Jagt {0}",,"{0} will be the target (person) name (i.e. »Chasing John«)"
choose.color,"Farbe auswählen",,
clean.biowaste,"Bioabfall entfernen",,
clean.dust,"Staub entfernen",,
clean.floors,"Böden reinigen",,
clean.now,"Jetzt reinigen",,
clean.priority,Reinigungspriorität,,
clean.solar.panel,"Solarpaneel reinigen",,
cleaning.bot,Reinigungsbot,,"A robot that cleans floors"
cleaning.floors,"Reinigt Böden",,"Displayed when a person or robot is cleaning floors (action)."
cleaning.ocd,Reinigungszwang,,"Name of a human trait, which makes someone become obsessive about cleaning. OCD is short for Obsessive Compulsive Disorder."
clear.all,"Alle löschen",,
clear.history,"Historie löschen",,
click.input.to.rebind,"Erwarte Eingabe (warten für 5 Sek.)",,"A label displayed when a change in keyboard or controller bindings is being initiated. You want to rebind a shortcut to a different key, or change the controller stick that handles camera pan, you click on existing binding and this message is displayed while the game waits for you to press a button or move a stick, etc. It doesn't say »Press a button« because it may not always be a button (gamepad stick is a small joystick, etc)"
click.to.bind,"Zum Belegen klicken",,
clipboard.is.empty,"Zwischenablage ist leer",,
clone,Klonen,,
clone.desc,"Ein Klon ist ein Wesen, das in einem Labor gezüchtet und nicht auf herkömmliche Weise geboren wurde. Klone sehen aus und verhalten sich wie Erwachsene, unabhängig von ihrem Alter.",,
cloning.bar,"Klone {0}",,"A label for the progress bar of a cloning device. {0} is what the device is currently cloning. i.e. »Cloning: Human«"
close,Schließen,,
close.floor.vent,"Bodenlüftungsschacht schließen",,
close.starmap,"Sternenkarte schließen",,
close.vent,"Lüftungsschacht schließen",,
codex,Kodex,,
codex.blueprints,Blaupausen,,
codex.blueprints.mode.All,Alle,,
codex.blueprints.mode.Locked,Gesperrt,,
codex.blueprints.mode.Unlocked,Freigeschaltet,,
codex.entry,Kodexeintrag,,
codex.equipment,Ausrüstung,,
codex.factions,Fraktionen,,
codex.m.basebuilding,Basenbau,,
codex.m.basebuilding.buildacopy,"Kopien bestehender Objekte erstellen",,
codex.m.basebuilding.buildacopy.desc,"Wenn du eine Kopie von etwas erstellen möchtest, das du bereits besitzt, markiere das Objekt und wähle den Menüpunkt ""Kopie erstellen"" in der Infotafel oder im Kontextmenü. Du kannst auch die Tastenkombination {0} verwenden, während das Objekt ausgewählt ist.<br><br>Um eine Kopie eines Energieanschlusses zu erstellen, ziehe eine Verbindung und lege sie auf einem leeren Bodenfeld ab (konfigurierbar, kann ausgeschaltet werden).<br><br>Wenn du auf diese Weise keine Kopie erstellen kannst, überprüfe, ob die passende Blaupause freigeschaltet ist.",,
codex.m.basebuilding.devicewear,Geräteabnutzung,,
codex.m.basebuilding.devicewear.desc,"Die meisten Geräte, insbesondere solche, die mit Strom betrieben werden, verlieren mit der Zeit ihre Haltbarkeit. Einige Maßnahmen, die du oder deine Kolonisten ergreifen, können die Abnutzung beschleunigen.<br><br>Wenn die Abnutzung eines Geräts 100 % erreicht, beginnt das Gerät, bei der Benutzung zu altern. Zu diesem Zeitpunkt ist das Gerät nicht mehr reparabel. Du kannst das Gerät zerlegen, um die Materialien zurückzugewinnen, und dann ein brandneues Gerät bauen, um es zu ersetzen.",,
codex.m.basebuilding.relocatingobjects,"Objekte verlagern",,
codex.m.basebuilding.relocatingobjects.desc,"Es kommt häufig vor, dass du ein Gerät an einen anderen Ort verschieben möchtest. Wähle hierfür das Gerät aus und wähle den Menüpunkt ""Verschieben"" im Infobereich oder im Kontextmenü. Oder verwende die Tastenkombination {0}, während das Gerät ausgewählt ist.<br><br>Du kannst das Gerät über sich selbst verschieben. Dass ist nützlich, wenn du die Rotation ändern möchtest.<br><br>Das Verschieben eines Geräts kann eine Überprüfung der Konstruktionsfähigkeiten erfordern. Komplexe Geräte wie der Schiffscomputer oder die Stasiskammer können nur von hochqualifizierten Arbeitern verschoben werden.<br><br>Wenn du mehrere Objekte auswählst, kannst du sie alle gleichzeitig verlagern.",,
codex.m.basebuilding.teleporters,Teleporters,,
codex.m.basebuilding.teleporters.desc,"<b>Teleporter</b> können als Eine-Richtung-Portale zu anderen Teleportern verwendet werden.<br><br>Zwei Teleporter können miteinander verbunden werden und so ein Zwei-Wege-Portal erzeugen. Mehrere Teleporter können dasselbe Ziel haben.<br><br>Ein funktionierender Teleporter wird außerdem benötigt, um mit Handelsschiffen, Raumstationen oder planetaren Außenposten Handel zu treiben.",2022-10-23,
codex.m.basebuilding.winching,Winden,,
codex.m.basebuilding.winching.desc,"Du kannst die Winde und den Windenanker verwenden, um einen abgebrochenen Teil des Schiffes einzuholen. Baue die Winde in der Nähe der Kante deines Schiffes und den Windenanker in der Nähe der Kante eines abgebrochenen Schiffsteils.<br><br>Wähle dann den Windenhaken aus und verwende die Infotafel oder das Kontextmenü, um den Abschnitt einzuholen. Der Vorgang wird abgebrochen, wenn sich Hindernisse im Weg befinden (Solarpaneele, Triebwerke usw.).<br><br>Du musst die Windentechnologie im Forschungsbaum freischalten, um die Blaupausen für Windenhaken und Windenanker zu erhalten.",,
codex.m.bigquestions,"Zentrale Fragen",,
codex.m.bigquestions.endgoal,Hauptziel,,
codex.m.bigquestions.endgoal.desc,"Dein Hauptziel ist es, deine Kolonisten in eine Siedlung auf einem bewohnbaren Planeten umzuziehen.<br><br>Baue zunächst ein Teleskop und scanne das beobachtbare Universum, um einen potenziell bewohnbaren Planeten zu finden.<br><br>Sobald du einen potenziell bewohnbaren Planeten gefunden und erreicht hast, muss er terraformiert werden.<br><br>Wenn der Planet vollständig terraformiert ist, musst du eine Siedlung errichten und die Kolonisten auf diesen Planeten bringen.",2022-04-13,
codex.m.bigquestions.gameover,Spielende,,
codex.m.bigquestions.gameover.desc,"Das Spiel endet, sobald der letzte Schiffscomputer zerstört wurde. Keine Arbeiter mehr zu haben, führt zur Handlungsunfähigkeit, und es ist nahezu unmöglich, aus diesem Zustand wieder herauszukommen, sofern du nicht ausreichend lang darauf wartest, dass jemand deiner Kolonie beitritt, der Materialien zu einer auf Drohnenproduktion eingestellten Montagemaschine tragen kann.",,
codex.m.bigquestions.goodvsevil,"Gut gegen Böse",,
codex.m.bigquestions.goodvsevil.desc,"Es liegt an dir, ob du gut oder böse sein möchtest. Um wahrlich böse zu werden, müsstest du dir eine Technologie aneignen, die dein internes Modul zur Befolgung der Asimov’schen Gesetze unterdrücken kann.",,
codex.m.bigquestions.reversingupload,"Deinen Upload in den Schiffcomputer rückgängig machen",,
codex.m.bigquestions.reversingupload.desc,"Dein Bewusstsein wurde in den Schiffscomputer hochgeladen. Der Vorgang ist unumkehrbar, da dein physisches Gehirn zerstört wurde, um die Daten zu extrahieren. Dein ehemaliger Körper ist jetzt wahrscheinlich Teil einer Überlebensration.",,
codex.m.bigquestions.whatami,"Wer bin ich?",,
codex.m.bigquestions.whatami.desc,"Dies ist die wichtigste Frage von allen. Du warst mal ein Kolonist, der in Kryostasis schlief. Jetzt ist dein Bewusstsein Teil des neuronalen Netzes des Schiffscomputers.<br><br>Aber warst du vorher wirklich ein Mensch? Was bedeutet es, ein Mensch zu sein? Ein Bewusstsein, das in einer Hülle aus Fleisch und Knochen gefangen ist? Du könntest genauso gut ein transzendierter, allmächtiger Gott sein, der sich in eine Simulation projiziert hat und tief in die Rolle dessen eingetaucht ist, worin du gerade gefangen bist. Du könntest den Unterschied nicht bemerken.<br><br>Auf diese Frage gibt es keine Antwort. Die einzige beweisbare Tatsache ist, dass du existierst.",,
codex.m.colonists,"Kolonisten (Menschen, Haustiere)",,
codex.m.colonists.attachments,"Bindungen (Besitz, Freundschaften)",,
codex.m.colonists.attachments.desc,"Kolonisten (Menschen und Haustiere) bilden verschiedene Arten von Bindungen – vom Besitz eines Bettes bis zur Freundschaft mit einer anderen Person. Auch die Kaffeesucht ist eine Form der Bindung.<br><br>Du kannst sehen, welche Bindungen ein Kolonist hat, indem du den Inhalt des Punkts <b>Bindungen</b> in der Infotafel ansiehst.",,
codex.m.colonists.breakdowns,Nervenzusammenbrüche,,
codex.m.colonists.breakdowns.desc,"Wenn ein Kolonist in schlechter Stimmung ist, kann es zu einem Zusammenbruch kommen. Der Kolonist bekommt einen Wutanfall und nach einer Weile normalisiert sich die Stimmung wieder. In seltenen Fällen können Zusammenbrüche deiner Kolonie ernsthaften Schaden zufügen. Behalte die Stimmung deiner Kolonisten im Auge und versuche, sie bei Laune zu halten, um Zusammenbrüche zu vermeiden.",,
codex.m.colonists.cloning,"Kolonisten klonen",,
codex.m.colonists.cloning.desc,"Du kannst eine Klonkapsel bauen und neue Kolonisten aus Rohstoffen wie Eiweiß und Wasser züchten. Du kannst sogar wählen, welche Spezies du züchten willst – es können Haustiere oder sogar Krabbler sein. Wenn etwas organisch ist, kannst du es klonen.",,
codex.m.colonists.death,"Tod eines Kolonisten",,
codex.m.colonists.death.desc,"Das Leben im Weltraum ist grausam und der Tod ist oft unausweichlich. Deine Kolonie regeneriert sich jedoch selbst, wenn neue Kolonisten aus dem Kälteschlaf in der Stasiskammer erwachen oder sich deiner Kolonie auf andere Weise anschließen.<br><br>Du kannst die Todesursache feststellen, indem du ein totes Lebewesen auswählst und die Informationen in der Infotafel ansiehst.<br><br>Tote Kolonisten können im Nährstoffextraktor verarbeitet werden und so wichtige Materialien für das Überleben der Lebenden liefert.",,
codex.m.colonists.mindcontrol,Gedankenkontrolle,,
codex.m.colonists.mindcontrol.desc,"Es gibt Möglichkeiten, deine biologischen Kolonisten (Menschen und Haustiere) zu kontrollieren. Ein Betawellensendeempfänger kann sich mit der Zeit mit deiner Kolonie synchronisieren, so dass du die Arbeitsprioritäten ändern und bestimmten Personen direkte Befehle erteilen kannst.<br><br>Kolonisten mit der Eigenschaft <b>Betawellenresistenz</b> können nicht auf diese Weise kontrolliert werden.",,
codex.m.colonists.mood,"Stimmung des Kolonisten",,
codex.m.colonists.mood.desc,"Im Gegensatz zu Drohnen haben biologische Kolonisten Gefühle und können in guter oder schlechter Stimmung sein. Wenn du einen Kolonisten auswählst und den Inhalt des Abschnitts <b>Stimmung</b> in der Infotafel untersuchst, findest du die genauen Gründe, warum die Stimmung steigt oder sinkt. Die meisten Gründe können verhindert werden, indem man den Kolonisten das gibt, was sie brauchen.<br><br>Du kannst auch die Bedürfnisse untersuchen, da sie oft mit der Stimmung verbunden sind.",,
codex.m.colonists.stasiswakeups,"Aufwachen aus der Stasis",,
codex.m.colonists.stasiswakeups.desc,"Das Stasisfeld enthält Hunderte von schlafenden Kolonisten (Menschen und Haustiere). Von Zeit zu Zeit kommt es zu einer Fehlfunktion der Stasiskapsel, wodurch ein Kolonist aufgeweckt wird.<br><br>Die Häufigkeit der Stasisaufwachungen hängt von der Kryostabilität ab. Je weniger stabil deine Stasiskammer ist, desto häufiger kommt es zu Fehlfunktionen der Kapseln.<br><br>Du kannst die Kryostabilität überprüfen, indem du die Stasiskammer auswählst und die Infotafel <b>Untersuchen</b> nutzt.<br><br>Wenn die Stasiskammer in den erweiterten Lebenserhaltungsmodus geschaltet ist, kannst du die Häufigkeit der Stasisaufweckungen steuern und bei Bedarf manuelle Aufweckungen anfordern.",,
codex.m.combat,"Waffen und Kampf",,
codex.m.combat.breachcapsules,Enterkapseln,,
codex.m.combat.breachcapsules.desc,"Enterkapseln werden meist von Überfallkommandos eingesetzt. Die Kapsel wird von unten an deinem Schiff befestigt und bohrt sich durch die Außenwand. Die Räuber entern dann durch das Bohrloch dein Schiff. Sie können ihre Beute in die Enterkapsel legen und diese abkoppeln, um zu entkommen. Wenn du alle Räuber getötet hast, gehört die Enterkapsel dir. Du kannst sie zerlegen, um einige wertvolle Materialien zu erhalten und deine gestohlenen Waren zurückzubekommen.",,
codex.m.combat.controllingunits,"Steuerung von Kampfeinheiten",,
codex.m.combat.controllingunits.desc,"Du kannst den Arbeitern (Roboter und Drohnen) unter deiner Kontrolle befehlen, sich an bestimmte Orte zu begeben. Wähle eine Einheit aus und halte {0} gedrückt, um in den Modus ""Bewegung befehlen"" zu wechseln. Dann nutze {1}, um die Einheit zur ausgewählten Position zu schicken.<br><br>Du kannst verwaltete Arbeiter auch in den Zustand ""Hohe Alarmbereitschaft"" schalten. In ""hoher Alarmbereitschaft"" führen die Einheiten Routineaufgaben aus, es sei denn, sie befinden sich zu nahe an einem Feind oder werden angegriffen – dann wird die Einheit wieder in den Kampfmodus versetzt.<br><br>Nicht kontrollierte Arbeiter (Menschen und Haustiere) können im Kampf nicht gesteuert werden.",,
codex.m.combat.explosives,"Sprengstoff und Bomben",,
codex.m.combat.explosives.desc,"Du kannst Sprengstoffe wie C42 selbst herstellen, sie dann an strategisch wichtigen Stellen platzieren und scharfmachen. Aktivierte Sprengsätze explodieren, wenn sich ein feindliches Wesen in der Nähe befindet.<br><br>Räuber lassen manchmal Sprengsätze mit einem Zeitzünder fallen. Der Zeitzünder kann nicht gestoppt werden und wenn er endet, geht die Bombe in die Luft. Wenn genug Zeit bleibt, sollte man versuchen, den Sprengstoff an eine andere Stelle zu transportieren.",,
codex.m.combat.raids,Überfälle,,
codex.m.combat.raids.desc,"Gelegentlich kann es vorkommen, dass du von einer Fraktion überfallen wirst. Wenn dies geschieht, wird deine Kolonie in den Kampfzustand versetzt. Du kannst das Kampfoverlay verwenden, um die Situation zu analysieren.<br><br>Versuche, dich gegen Überfälle zu schützen, indem du deine Kolonie mit Waffen ausstattest und Verteidigungsanlagen wie Flüssigkeitskanonen oder Geschütztürme baust.",,
