Key,Translation,Version,Comment (context for translators),,,,,,,,,,,,,,,,,,,,,,,
assigned.to.selected.worker,Przypisane do wybranego pracownika,,,,,,,,,,,,,,,,,,,,,,,,,
assigned.to.worker,Przypisano do: {0},,,,,,,,,,,,,,,,,,,,,,,,,
assigned.worker,Przypisano,,,,,,,,,,,,,,,,,,,,,,,,,
asteroid,Asteroida,,,,,,,,,,,,,,,,,,,,,,,,,
asteroid.avoided,Dobre wie?ci. Unikn?li?my kolizji z asteroid?!,,,,,,,,,,,,,,,,,,,,,,,,,
asteroid.impact,Uderzenie asteroidy,,,,,,,,,,,,,,,,,,,,,,,,,
asteroid.incoming,Nadci?ga asteroida,,,,,,,,,,,,,,,,,,,,,,,,,
ate.at.makeshift.table,Zjad? przy prowizorycznym stole,,,,,,,,,,,,,,,,,,,,,,,,,
ate.at.table,Zjad? przy stole,,,,,,,,,,,,,,,,,,,,,,,,,
ate.from.a.bowl,Zjad? z miski,,,,,,,,,,,,,,,,,,,,,,,,,
ate.without.bowl,Zjad? bez miski,,,,,,,,,,,,,,,,,,,,,,,,,
ate.without.table,Zjad? bez sto?u,,,,,,,,,,,,,,,,,,,,,,,,,
attachment.Friendship,Przyja??,,,,,,,,,,,,,,,,,,,,,,,,,
attachment.Friendship.about,Ta istota jest uznana jako przyjaciel,,,,,,,,,,,,,,,,,,,,,,,,,
attachment.PersonBed,?ó?ko,,,,,,,,,,,,,,,,,,,,,,,,,
attachment.PersonBed.about,Ta osoba uznaje to ?ó?ko jako w?asne. B?dzie tu spa? kiedy to mo?liwe.,,,,,,,,,,,,,,,,,,,,,,,,,
attachment.PetBed,?ó?ko zwierzaka,,,,,,,,,,,,,,,,,,,,,,,,,
attachment.PetBed.about,To zwierz? uznaje to ?ó?ko jako w?asne. B?dzie tu spa? kiedy to mo?liwe.,,,,,,,,,,,,,,,,,,,,,,,,,
attention,Uwaga,,,,,,,,,,,,,,,,,,,,,,,,,
attracted.to,Preferuje,,"For showing what gender the being is attracted to (i.e. ""Attracted To -> Female"")",,,,,,,,,,,,,,,,,,,,,,,
audio.amb.cutoff.tip,"Je?li w??czone, ?ród?a d?wi?ku z otoczenia (ró?ne d?wi?ki urz?dze?, ha?as silnika itp.) b?d? ciche, gdy b?d? z dala od kamery.",,,,,,,,,,,,,,,,,,,,,,,,,
audio.fx.cutoff.tip,"Je?li w??czone, ?ród?a d?wi?ku (brz?czenie, eksplozje, itp.) b?d? ciche, gdy b?d? z dala od kamery.",,,,,,,,,,,,,,,,,,,,,,,,,
audio.max.silence,Cisza pomi?dzy uworami: {0},,,,,,,,,,,,,,,,,,,,,,,,,
audio.max.silence.tip,Nastawia czas ciszy pomi?dzy uworami.,,,,,,,,,,,,,,,,,,,,,,,,,
audio.music.cutoff.tip,"Je?li w??czone, muzyka b?dzie gra?a ciszej, im bli?ej jest kamera.",,,,,,,,,,,,,,,,,,,,,,,,,
audio.ui.hover,Dzwi?k interfejsu u?ytkownika,,,,,,,,,,,,,,,,,,,,,,,,,
auto,Auto,,"short for ""Automatic"", could be used on a narrow button that toggles between automatic and some other (i.e. manual) setting",,,,,,,,,,,,,,,,,,,,,,,
auto.clean,Auto-Czyszczenie,,,,,,,,,,,,,,,,,,,,,,,,,
auto.clean.info,"Je?li Auto-Czyszczenie jest w??czone, pracownicy b?d? automactycznie czy?ci? te urz?dzenie je?li b?dzie brudne.",,,,,,,,,,,,,,,,,,,,,,,,,
auto.close,Auto-Zamykanie,,,,,,,,,,,,,,,,,,,,,,,,,
auto.harvest,Auto-Zbieranie,,,,,,,,,,,,,,,,,,,,,,,,,
auto.haul,Auto-Holowanie,,,,,,,,,,,,,,,,,,,,,,,,,
auto.haul.info,"Pracownicy b?d? automatycznie holowa? kompatybilne przedmioty do tego obiektu, chyba ?e auto-holowanie jest wy??czone w konfiguracji urz?dzenia.",,,,,,,,,,,,,,,,,,,,,,,,,
auto.refill.amount,Ilo?? do Auto-Uzupe?nienia,,,,,,,,,,,,,,,,,,,,,,,,,
auto.refill.amount.help,"To jest maksymalna ilo?? paliwa, któr? pracownicy b?d? uzupe?nia? do tego urz?dzenia. Zadanie uzupe?niania b?dzie automatycznie wydane, gdy poziom paliwa spadnie poni?ej 50% ilo?ci auto-uzupe?niania.",2022-06-27,,,,,,,,,,,,,,,,,,,,,,,,
auto.report.consent,Zezwolenie na auto-raport,,,,,,,,,,,,,,,,,,,,,,,,,
auto.report.consent.info,"Czy chcia?by?/chcia?aby? automatycznie przesy??? b??dy i crashe do dewelopera?<br><br>Te raporty s? nam potrzebne, aby naprawia? porblemy zwi?zane z gr?, wi?c prosimy o w??czenie tej opcji.<br><br>Wi?cej informacji znajdziesz na https://stardeusgame.com/privacy/",,,,,,,,,,,,,,,,,,,,,,,,,
auto.reporting,Auto-Raportowanie b??dów,,,,,,,,,,,,,,,,,,,,,,,,,
auto.reporting.tip,"Je?li w??czone, b?dzie automatycznie raportowa? crashe i b??dy do dewelopera. Prosimy, aby by?o w??czone, pomo?e to w ulepszaniu i usprawnianiu gry. Dowiedz si? jakie informacje s? przesy?ane na stardeusgame.com/privacy/",,,,,,,,,,,,,,,,,,,,,,,,,
auto.save.on.exit,Auto-Zapis podczas wyj?cia,,,,,,,,,,,,,,,,,,,,,,,,,
auto.save.periodic,Cykliczny Auto-Zapis,,,,,,,,,,,,,,,,,,,,,,,,,
autoclean.amount,Ilo?? Auto-Czyszczenia,,,,,,,,,,,,,,,,,,,,,,,,,
autoclean.disabled,Auto-Czyszczenie wy??czone,,,,,,,,,,,,,,,,,,,,,,,,,
autoclean.dust.amount,Granica Auto-Czyszczenia,,,,,,,,,,,,,,,,,,,,,,,,,
autoclean.dust.tooltip,Automatycznie stworzy zadanie sprz?tania panelu gdy poziom kurzu osi?gnie t? warto??,,,,,,,,,,,,,,,,,,,,,,,,,
autoclean.enabled,Auto-Czyszczenie w??czone,,,,,,,,,,,,,,,,,,,,,,,,,
autoclean.interval.minutes,Cykliczne Auto-Czyszczenie (w minutach),,,,,,,,,,,,,,,,,,,,,,,,,
autosave,Auto-Zapis,,,,,,,,,,,,,,,,,,,,,,,,,
autosave.short,A,,,,,,,,,,,,,,,,,,,,,,,,,
autosaving,Auto-Zapisywanie,,,,,,,,,,,,,,,,,,,,,,,,,
autoscale.on,W??czanie Auto-Skalowania interfejsu u?ytkownika,,,,,,,,,,,,,,,,,,,,,,,,,
autoscale.on.why,"Zmieniono rozdzielczo??. Auto-Skalowanie interfejsu u?ytkownika, poniewa? poprzednia warto?? by?a poza dost?pn? skal?.",,,,,,,,,,,,,,,,,,,,,,,,,
available.count,Posiadane: {0},2022-12-22,Tells how many items of that type are owned by the player. {0} is a number,,,,,,,,,,,,,,,,,,,,,,,
available.materials,Inwentarz,2022-06-17,,,,,,,,,,,,,,,,,,,,,,,,
available.materials.none,Brak dost?pnych materia?ów!,,,,,,,,,,,,,,,,,,,,,,,,,
available.memory,Dost?pna pami??: {0}EB,,,,,,,,,,,,,,,,,,,,,,,,,
available.storage,Dost?pna pojemno??: {0}ZB,,,,,,,,,,,,,,,,,,,,,,,,,
available.tasks,Nast?pne zadania,,,,,,,,,,,,,,,,,,,,,,,,,
basic,Podstawowe,,"Opposite of ""Advanced"". For now only used in life support option choice (Advanced / Basic)",,,,,,,,,,,,,,,,,,,,,,,
battery.charge,Poziom na?adowania baterii,,,,,,,,,,,,,,,,,,,,,,,,,
battery.charge.bar,Poziom baterii: {0},2022-07-12,,,,,,,,,,,,,,,,,,,,,,,,
battery.charge.rate,Szybko?? ?adowania,,The amount of electricity the battery draws when charging (i.e. 50kW),,,,,,,,,,,,,,,,,,,,,,,
battery.discharge.rate,Szybko?? roz?adowania,,The amount of electricity the battery can produce when discharging (i.e. 100kW),,,,,,,,,,,,,,,,,,,,,,,
battery.discharged,Bateria si? roz?adowa?a,,,,,,,,,,,,,,,,,,,,,,,,,
battery.info,Bateria: {0},,,,,,,,,,,,,,,,,,,,,,,,,
battery.mode,Tryb: {0},,,,,,,,,,,,,,,,,,,,,,,,,
battery.state,Stan,,,,,,,,,,,,,,,,,,,,,,,,,
battery.state.Charging,?aduje si?,,,,,,,,,,,,,,,,,,,,,,,,,
battery.state.Discharging,Roz?adowuje si?,,,,,,,,,,,,,,,,,,,,,,,,,
battery.state.Idle,Bezczynna,,,,,,,,,,,,,,,,,,,,,,,,,
battery.ttd,Czas do roz?adowania,,,,,,,,,,,,,,,,,,,,,,,,,
battery.ttd.tip,Czas do roz?adowania baterii od aktualnego poziomu przy mocy wy?adowania {0},,,,,,,,,,,,,,,,,,,,,,,,,
beautiful.surroundings,Pi?kne otoczenie,,,,,,,,,,,,,,,,,,,,,,,,,
being.can.reach,{0} mo?e i?? do {1},,"Used to show result of ""walkability"" check for a selected being. {0} will be the name, {1} will be a coordinate. (John can go to [12:13])",,,,,,,,,,,,,,,,,,,,,,,
being.cannot.reach,{0} nie jest w stanie doj?? do {1},,"Just like above, but when the walk is not possible (John cannot go to [12:13])",,,,,,,,,,,,,,,,,,,,,,,
being.died,{0} zgin??,,,,,,,,,,,,,,,,,,,,,,,,,
being.no.longer.available,Istota nie jest ju? dost?pna,,,,,,,,,,,,,,,,,,,,,,,,,
being.taking.damage,Otrzyma? obra?enia od {0},,"{0} will be damage type, i.e. ""Took Cold Damage""",,,,,,,,,,,,,,,,,,,,,,,
being.thinks.safe,{0} uwa?a ?e {1} jest bezpiecznym miejscem,,"For a tooltip that shows if selected location is safe to be in. {0} is name, {1} is coordinate. Example: ""John thinks [123:324] is safe""",,,,,,,,,,,,,,,,,,,,,,,
being.thinks.unsafe,{0} uwa?a ?e {1} nie jest bezpiecznym miejscem!,,"For a tooltip that shows if selected location is not safe to be in. {0} is name, {1} is coordinate. Example: ""John thinks [123:324] is not safe!""",,,,,,,,,,,,,,,,,,,,,,,
being.woke.up,{0} obudzi? si? z zastoju,2022-05-17,,,,,,,,,,,,,,,,,,,,,,,,
beings,Istoty,,,,,,,,,,,,,,,,,,,,,,,,,
beings.carrier01,Dron Dostawczy,,,,,,,,,,,,,,,,,,,,,,,,,
beings.carrier01.desc,"Zwinny, lataj?cy dron. Potrafi holowa? i konserwowa?.",,,,,,,,,,,,,,,,,,,,,,,,,
beings.cat01,Kot,,,,,,,,,,,,,,,,,,,,,,,,,
beings.cat01.desc,"Ma?y, udomowiony, mi?so?erny ssak z mi?kkim futrem, krótkim pyszczkiem i wyci?ganymi pazurami. Jest powszechnie trzymany jako zwierz? domowe, oraz u?ywany do ?apania myszy. Wytworzonych zosta?o wiele ras.",2022-09-12,,,,,,,,,,,,,,,,,,,,,,,,
beings.cleaningbot01,Robot Sprz?taj?cy,,,,,,,,,,,,,,,,,,,,,,,,,
beings.cleaningbot01.desc,Inteligentny robot-odkurzacz z jednym zadaniem - czyszczeniem pod?ogi,,,,,,,,,,,,,,,,,,,,,,,,,
beings.crawler01,Pe?zak,,,,,,,,,,,,,,,,,,,,,,,,,
beings.crawler01.desc,Rasa obcych podobna do paj?ków. Wygl?daj? niebezpiecznie.,,,,,,,,,,,,,,,,,,,,,,,,,
beings.dog01,Pies,,,,,,,,,,,,,,,,,,,,,,,,,
beings.dog01.desc,"Udomowiony, mi?so?erny ssak, posiadaj?cy d?ugi pysk, wyostrzony zmys? w?chu i niewyci?gane pazury. Wydaje dzwi?ki szczekania, wycia i skomlenia.",2022-09-12,,,,,,,,,,,,,,,,,,,,,,,,
beings.drone01,Dron Budowniczy,,,,,,,,,,,,,,,,,,,,,,,,,
beings.drone01.desc,"S? szybkie i potrafi? lata?. Nie udzwign? wiele, i nie s? w stanie wykona? zaawansowanych polece?. Potrzebuje Stacji ?aduj?cej by si? na?adowa?. Przy niskiej mocy baterii, b?dzie wolny i ma?o produktywny. Mo?esz je stworzy? u?ywaja? Montera.",,,,,,,,,,,,,,,,,,,,,,,,,
beings.human01,Cz?owiek,,,,,,,,,,,,,,,,,,,,,,,,,
beings.human01.desc,Kiedy? te? nim by?e?...,,,,,,,,,,,,,,,,,,,,,,,,,
beings.robot01,Robot Budowniczy,,,,,,,,,,,,,,,,,,,,,,,,,
beings.robot01.desc,"Roboty ?wietnie radz? sobie z mechanicznymi zadaniami i mog? wykonywa? zaawansowane prace budowlane, do których inni mog? nie by? zdolni. S? powolne i potrzebuj? solidnego pod?o?a do poruszania si?.",2022-11-13,,,,,,,,,,,,,,,,,,,,,,,,
beings.sentry01,Dron Stra?niczy,,,,,,,,,,,,,,,,,,,,,,,,,
beings.sentry01.desc,G?ównym zadaniem Drona Stra?niczego jest walka. Posiada wi?cej zdrowia ni? zwyk?y dron. Dzi?ki dodatkowej insulacji jest ?wietnym stra?akiem.,,,,,,,,,,,,,,,,,,,,,,,,,
beta.wave.sync.bar,Synchornizacja Fal Beta: {0},,,,,,,,,,,,,,,,,,,,,,,,,
biowaste.accumulation,Akumulacja bioodpadów,,,,,,,,,,,,,,,,,,,,,,,,,
biowaste.amount,Ilo?? bioodpadów,,,,,,,,,,,,,,,,,,,,,,,,,
biowaste.amount.bar,Bioodpady: {0}/{1},,,,,,,,,,,,,,,,,,,,,,,,,
biowaste.amount.warning,Zalecane czyszczenie bioodpadów,,,,,,,,,,,,,,,,,,,,,,,,,
birth.date,Data urodzin,,,,,,,,,,,,,,,,,,,,,,,,,
blocked.door,Drzwi zablokowane,,"Displayed in event panel when there is a door that is blocked by some device, preventing the door from being used",,,,,,,,,,,,,,,,,,,,,,,
bog.opt.half,Po?owa,,,,,,,,,,,,,,,,,,,,,,,,,
bomb.arm,Uzbrój materia? wybuchowy,,,,,,,,,,,,,,,,,,,,,,,,,
bomb.armed,Materia? wybuchowy: uzbrojony,,,,,,,,,,,,,,,,,,,,,,,,,
bomb.controls,Kontrola materia?u wybuchowego,,,,,,,,,,,,,,,,,,,,,,,,,
bomb.detonate.now,Detonacja,,,,,,,,,,,,,,,,,,,,,,,,,
bomb.disarm,Rozbrój materia? wybuchowy,,,,,,,,,,,,,,,,,,,,,,,,,
bomb.unarmed,Materia? wybuchowy: rozbrojony,,,,,,,,,,,,,,,,,,,,,,,,,
bored,Znudzony,,,,,,,,,,,,,,,,,,,,,,,,,
brain.stat.CanCompromiseHullIntegrity,Mo?liwe naruszenie integralno?ci kad?uba,,,,,,,,,,,,,,,,,,,,,,,,,
brain.stat.CanCompromiseSafety,Mo?liwe naruszenie bezpiecze?stwa,,,,,,,,,,,,,,,,,,,,,,,,,
brain.stat.Completed,Wykonane zadania,,,,,,,,,,,,,,,,,,,,,,,,,
brain.stat.CompletedStreak,Seria wykonanych zada?,,,,,,,,,,,,,,,,,,,,,,,,,
brain.stat.Failed,Nieudane zadania,,,,,,,,,,,,,,,,,,,,,,,,,
brain.stat.FailedStreak,Seria nieudanych zada?,,,,,,,,,,,,,,,,,,,,,,,,,
brain.stat.JobPriority0,Zerowy priorytet pracy,,,,,,,,,,,,,,,,,,,,,,,,,
brain.stat.LastEvalTime,Ostatnia ewaluacja,,,,,,,,,,,,,,,,,,,,,,,,,
brain.stat.LastFailedAd,Ostatnio nieudany,,,,,,,,,,,,,,,,,,,,,,,,,
brain.stat.LastSuccessfulAd,Ostatni sukces,,,,,,,,,,,,,,,,,,,,,,,,,
brain.stat.NoNeed,Brak potrzeby,,One of the statistics for reasons why worker did not do some tasks. This is for types of tasks where worker needs are evaluated. I.e. robot did not recharge because the battery was full -> no need,,,,,,,,,,,,,,,,,,,,,,,
brain.stat.NoSkill,Niewystarczaj?ce umiej?tno?ci,,,,,,,,,,,,,,,,,,,,,,,,,
brain.stat.Reluctant,Pracownik niech?tnie wykonuje prac?,,,,,,,,,,,,,,,,,,,,,,,,,
brain.stat.Total,Dost?pne zadania,,,,,,,,,,,,,,,,,,,,,,,,,
brain.stat.UnableToFly,Nie potrafi lata?,,,,,,,,,,,,,,,,,,,,,,,,,
brain.stat.UnreachableLoc,Z nieosi?galn? lokalizacj?,,,,,,,,,,,,,,,,,,,,,,,,,
brain.stat.UnreachableLocMem,Nieosi?galne miejsce w pami?ci,,,,,,,,,,,,,,,,,,,,,,,,,
brain.stat.UnreachableMats,Z nieosi?galnymi materia?ami,,,,,,,,,,,,,,,,,,,,,,,,,
brain.stat.Unsafe,Zadania w niebezpiecznym miejscu,,,,,,,,,,,,,,,,,,,,,,,,,
brain.stat.Workable,Zadania mo?liwe do wykonania,,,,,,,,,,,,,,,,,,,,,,,,,
breach.capsule.incoming,Nadci?ga Kapsu?a do Aborda?u,,,,,,,,,,,,,,,,,,,,,,,,,
breakdown.BreakdownDeconstruct,Za?amanie: Psuje co popadnie,,,,,,,,,,,,,,,,,,,,,,,,,
breakdown.BreakdownDeconstruct.desc,{0} niszczy ró?ne rzeczy przez za?amanie nerwowe,,,,,,,,,,,,,,,,,,,,,,,,,
breakdown.BreakdownInsanity,Niepoczytalno??,,,,,,,,,,,,,,,,,,,,,,,,,
breakdown.BreakdownInsanity.desc,"Przez zbyt du?? ilo?? stresu, {0} sta?/a si? niepoczytalny. Powinno przej??, chyba ?e stanie si? co? bardzo z?ego...",,,,,,,,,,,,,,,,,,,,,,,,,
breakdown.BreakdownRoamAround,Za?amanie: Kontemplacja nad egzystencj?,,,,,,,,,,,,,,,,,,,,,,,,,
breakdown.BreakdownRoamAround.desc,"{0} chodzi bez celu, wpatruj?c si? w pustk?",,,,,,,,,,,,,,,,,,,,,,,,,
breakdown.BreakdownSpaceDiarrhea,Kolonista zara?ony,,,,,,,,,,,,,,,,,,,,,,,,,
breakdown.BreakdownSpaceDiarrhea.desc,{0} z?apa? Kosmiczn? Biegunk?,,,,,,,,,,,,,,,,,,,,,,,,,
breakdown.BreakdownStartFire,Wznieca po?ary,,,,,,,,,,,,,,,,,,,,,,,,,
breakdown.BreakdownStartFire.desc,{0} spaceruje i podpala losowe rzeczy,,,,,,,,,,,,,,,,,,,,,,,,,
breakdown.CrawlerAttached,Stworzenie przyczepi?o si? do kolonisty!,,,,,,,,,,,,,,,,,,,,,,,,,
breakdown.CrawlerAttached.desc,Obca istota przyczepi?a si? do twarzy {0}!,,,,,,,,,,,,,,,,,,,,,,,,,
breakdown.Deconstruct,Dekonstruuje losowe rzeczy,,,,,,,,,,,,,,,,,,,,,,,,,
brew,Nalej,,"Action verb. Used on a button that brews a drink (coffee, beer, etc). Should be short if possible",,,,,,,,,,,,,,,,,,,,,,,
brewing.bar,Nalewa: {0},,"Displayed in a tooltip of a machine that brews drinks. Shows what exactly is brewing. {0} will be the drink name, i.e. ""Brewing: Coffee""",,,,,,,,,,,,,,,,,,,,,,,
bridge.controls,Sterownica Mostka,,,,,,,,,,,,,,,,,,,,,,,,,
build.a.copy,Zbuduj kopi?,,,,,,,,,,,,,,,,,,,,,,,,,
build.connector,Zbuduj ??cznik,,,,,,,,,,,,,,,,,,,,,,,,,
bullet,Nabój,,,,,,,,,,,,,,,,,,,,,,,,,
bullet.target,Cel: {0},,,,,,,,,,,,,,,,,,,,,,,,,
buy,Kup,,,,,,,,,,,,,,,,,,,,,,,,,
call.back,Zarz?d? powrót ekspecydji,,,,,,,,,,,,,,,,,,,,,,,,,
calories,Kalorie,,,,,,,,,,,,,,,,,,,,,,,,,
cancel,Anuluj,,,,,,,,,,,,,,,,,,,,,,,,,
cancel.drag.dist.px,Ignoruj przeci?gni?cia gdy s? na odleg?o??: {0} pikseli,,,,,,,,,,,,,,,,,,,,,,,,,
cancel.task,Anuluj zadanie,,,,,,,,,,,,,,,,,,,,,,,,,
cannot.be.empty,Nie mo?e by? puste,,,,,,,,,,,,,,,,,,,,,,,,,
cannot.build.floor.not.constructed,Brak zbudowanego pod?o?a,,,,,,,,,,,,,,,,,,,,,,,,,
cannot.build.floor.not.constructed.info,Mo?esz zleci? budowanie ?cian i objektów gdy jest pod nimi pod?oga.,,,,,,,,,,,,,,,,,,,,,,,,,
cannot.change.lock.state,Nie mo?na zmieni? statusu zamkni?cia,,,,,,,,,,,,,,,,,,,,,,,,,
cannot.create.template,Nie mo?na stworzy? szablonu,,,,,,,,,,,,,,,,,,,,,,,,,
cannot.enter.no.tech,Nie mo?na tu jeszcze wej??. Potrzebna do tego technologia nie zosta?a odblokowana.,,,,,,,,,,,,,,,,,,,,,,,,,
cannot.enter.space.object.nearby,"Nie mo?na zmieni? zasi?gu Mapy Gwiezdnej. Wygl?da na to, ?e w pobli?u jest jaki? objekt który w tym przeszkadza.",,,,,,,,,,,,,,,,,,,,,,,,,
cannot.enter.while.moving,"Nie mo?na wej?? do tego obiektu, gdy jest si? w ruchu. Wektor pr?dko?ci powninien by? wyzerowany w ka?d? stron?.",,,,,,,,,,,,,,,,,,,,,,,,,
cannot.reach.position,Nie mo?na si? tu dosta?,,,,,,,,,,,,,,,,,,,,,,,,,
cannot.save.gen,Nie mo?na zapisa? stanu gry w tej chwili. Spróbuj ponownie po zako?czeniu aktualnego dzia?ania.,,,,,,,,,,,,,,,,,,,,,,,,,
carbohydrates,W?glowodany,,,,,,,,,,,,,,,,,,,,,,,,,
carbon.buildup,Nagromadzony w?giel,,,,,,,,,,,,,,,,,,,,,,,,,
carbon.buildup.help,"Reaktory z czasem gromadz? w?giel. Gdy poziom w?gla osi?gnie 100%, Reaktory wyrzuc? go.",,,,,,,,,,,,,,,,,,,,,,,,,
change,Zmie?,,,,,,,,,,,,,,,,,,,,,,,,,
change.color,Zmie? kolor,,,,,,,,,,,,,,,,,,,,,,,,,
change.target.material,Zmie? docelowy materia?,,,,,,,,,,,,,,,,,,,,,,,,,
changelog,Lista zmian,,,,,,,,,,,,,,,,,,,,,,,,,
charge.time.left,Do pe?nego na?adowania,,Label of the progress bar that shows how long a device (i.e. a Force Field) will have to charge to get to 100%,,,,,,,,,,,,,,,,,,,,,,,
charging,?aduje,,,,,,,,,,,,,,,,,,,,,,,,,
chart,Wykres,,Text on a button that toggles display of a chart (i.e. electricity graph). Should be short if possible.,,,,,,,,,,,,,,,,,,,,,,,
chasing.target,Goni {0},,"{0} will be the target (person) name (i.e. ""Chasing John"")",,,,,,,,,,,,,,,,,,,,,,,
choose.color,Wybierz kolor,,,,,,,,,,,,,,,,,,,,,,,,,
clean.biowaste,Wyczy?? bioodpady,,,,,,,,,,,,,,,,,,,,,,,,,
clean.dust,Zmie? kurze,,,,,,,,,,,,,,,,,,,,,,,,,
clean.floors,Umyj pod?og?,,,,,,,,,,,,,,,,,,,,,,,,,
clean.now,Posprz?taj teraz,,,,,,,,,,,,,,,,,,,,,,,,,
clean.priority,Priorytet sprz?tania,,,,,,,,,,,,,,,,,,,,,,,,,
clean.solar.panel,Wypoleruj panele s?oneczne,,,,,,,,,,,,,,,,,,,,,,,,,
cleaning.bot,Robot czyszcz?cy,,A robot that cleans floors,,,,,,,,,,,,,,,,,,,,,,,
cleaning.floors,Myje pod?og?,,Displayed when a person or robot is cleaning floors (action).,,,,,,,,,,,,,,,,,,,,,,,
cleaning.ocd,Maniak czysto?ci,,"Name of a human trait, which makes someone become obsessive about cleaning. OCD is short for Obsessive Compulsive Disorder.",,,,,,,,,,,,,,,,,,,,,,,
clear.all,Wyczy?? wszystko,,,,,,,,,,,,,,,,,,,,,,,,,
clear.history,Wyczy?? histori?,,,,,,,,,,,,,,,,,,,,,,,,,
click.input.to.rebind,Nowy przycisk (5 sekund na zmian?),,"A label displayed when a change in keyboard or controller bindings is being initiated. You want to rebind a shortcut to a different key, or change the controller stick that handles camera pan, you click on existing binding and this message is displayed while the game waits for you to press a button or move a stick, etc. It doesn't say ""Press a button"" because it may not always be a button (gamepad stick is a small joystick, etc)",,,,,,,,,,,,,,,,,,,,,,,
click.to.bind,Kliknij by przypisa?,,,,,,,,,,,,,,,,,,,,,,,,,
clipboard.is.empty,Schowek jest pusty,,,,,,,,,,,,,,,,,,,,,,,,,
clone,Klon,,,,,,,,,,,,,,,,,,,,,,,,,
clone.desc,Klon to istota która powsta?a w labolatorium. Klony wygl?daj? i zachowuj? si? jak doro?li bez wzgl?du na wiek,,,,,,,,,,,,,,,,,,,,,,,,,
cloning.bar,Klonowanie: {0},,"A label for the progress bar of a cloning device. {0} is what the device is currently cloning. I.e. ""Cloning: Human""",,,,,,,,,,,,,,,,,,,,,,,
close,Zamknij,,,,,,,,,,,,,,,,,,,,,,,,,
close.floor.vent,Zamknij wentylacj? pod?ogow?,,,,,,,,,,,,,,,,,,,,,,,,,
close.starmap,Zamknij Map? Gwiezdn?,,,,,,,,,,,,,,,,,,,,,,,,,
close.vent,Zamknij wentylacj?,,,,,,,,,,,,,,,,,,,,,,,,,
codex,Kodeks,,,,,,,,,,,,,,,,,,,,,,,,,
codex.blueprints,Plany,,,,,,,,,,,,,,,,,,,,,,,,,
codex.blueprints.mode.All,Wszystkie,,,,,,,,,,,,,,,,,,,,,,,,,
codex.blueprints.mode.Locked,Zablokowane,,,,,,,,,,,,,,,,,,,,,,,,,
codex.blueprints.mode.Unlocked,Odblokowane,,,,,,,,,,,,,,,,,,,,,,,,,
codex.entry,Zapis z Kodeksu,,,,,,,,,,,,,,,,,,,,,,,,,
codex.equipment,Ekwipunek,,,,,,,,,,,,,,,,,,,,,,,,,
codex.factions,Frakcje,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.basebuilding,Budowanie bazy,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.basebuilding.buildacopy,Budowanie kopii istniej?cych obiektów,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.basebuilding.buildacopy.desc,"Je?li chcesz zbudowa? kopi? obiektu który ju? posiadasz, zaznacz go i wybierz ""Zbuduj kopi?"" w panelu informacyjnym lub w menu kontekstu. Mo?esz te? u?y? skrótu {0} gdy objekt jest zaznaczony.<br><br>Je?li chcesz zbudowa? kopi? ??cznika, przeci?gnij jego po??czenie na pust? kratk? pod?ogi (mo?na ten sposób wy??czy?).<br><br>Je?li nie mo?esz w ten sposób skopiowa? obiektu, sprawd? czy posiadasz odblokowany jego Projekt.",,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.basebuilding.devicewear,Zu?ycie urz?dzenia,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.basebuilding.devicewear.desc,"<b>Zu?ycie Urz?dzenia</b> wskazuje stopie? zu?ycia urz?dzenia. Mo?esz naprawi? szkody, ale nie mo?esz zmniejszy? zu?ycia. Gdy zu?ycie osi?gnie 100%, urz?dzenia nie da si? naprawi?.<br><br>Mo?esz wymieni? zu?yte urz?dzenie, zamawiaj?c kopi? tego samego urz?dzenia na to samo miejsce.<br><br>Niektóre interakcje z urz?dzeniem mog? dodawa? niewielkie ?lady zu?ycia.<br><br>Urz?dzenie zu?yte w 100% b?dzie otrzymywa? <b>Uszkodzenia od Wieku</b> podczas u?ytkowania i po jakim? czasie przestanie dzia?a?.",2023-08-29,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.basebuilding.relocatingobjects,Przemieszczanie objektów,,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.basebuilding.relocatingobjects.desc,"W którym? momencie na pewno nadejdzie potrzeba przeniesienia jakiego? obiektu. Zaznacz urz?dzenie i kliknij ""Przenie?"" w panelu informacyjnym lub w menu kontekstu. Mo?esz te? u?y? skrótu {0} gdy objekt jest zaznaczony.<br><br>Mo?esz przenie?? narz?dzie w to samo miejsce, w którym by?o. To jest przydatne gdy chcesz zmieni? kierunek narz?dzia.<br><br>Przenoszenie objektów mo?e wymaga? odpowiednich umiej?tno?ci konstruowania. Skomplikowane urz?dzenia takie jak Komputer Pok?adowy czy Komora Zastoju mo?e by? tylko przeniesiona przez wyszkolonych pracowników.<br><br>Je?li zaznaczysz wiele objektów, mo?esz je przenie?? wszystkie na raz.",,,,,,,,,,,,,,,,,,,,,,,,,
codex.m.basebuilding.teleporters,Teleportery,,,,,,,,,,,,,,,,,,,,,,,,,
